model,CIBerFS,CIBerFS,CIBerFS,CIBerNew,CIBerNew,CIBerNew,CIBerOld,CIBerOld,CIBerOld,NB,NB,NB,SVM,SVM,SVM,Logistic,Logistic,Logistic,MLP,MLP,MLP,LDA,LDA,LDA,LDA_PCA,LDA_PCA,LDA_PCA,Decision_Tree,Decision_Tree,Decision_Tree,KNN,KNN,KNN
stat,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score,precision,recall,f1-score
iter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,1.0,0.9751642036124795,0.9736572890025575,0.9743845897692052,0.9914529914529915,0.9882352941176471,0.9897372742200329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8260869565217391,0.8260869565217391,0.8260869565217391
1,1.0,1.0,1.0,0.9754901960784313,0.9757281553398058,0.9749993749843746,0.9754901960784313,0.9757281553398058,0.9749993749843746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948979591836735,0.9951456310679612,0.9949968730456535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8261217948717949,0.8258933039735762,0.8249956248906223
2,1.0,1.0,1.0,0.9797979797979798,0.9797979797979798,0.9797979797979798,0.9867256637168141,0.9833333333333334,0.9847989663297104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954954954954955,0.9944444444444445,0.9949442604717005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8541666666666667,0.8434343434343434,0.8465473145780051
3,1.0,1.0,1.0,0.9614448051948052,0.9683348779734322,0.9642483209479302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9750930136420008,0.973380702296365,0.9742101869761444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.806673001794953,0.799093811142004,0.8020833333333333
4,1.0,1.0,1.0,0.9647452662412386,0.9544757033248081,0.9586606035551881,1.0,1.0,1.0,0.9956896551724138,0.9941176470588236,0.994876917953841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8322653989251756,0.8289002557544757,0.8303821541466423
5,1.0,1.0,1.0,0.981651376146789,0.9789473684210526,0.9799015174354336,1.0,1.0,1.0,0.9952830188679245,0.9947368421052631,0.9949848291080519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8395989974937343,0.8395989974937343,0.8395989974937343
6,1.0,1.0,1.0,0.9708538587848933,0.9679722562219502,0.969309462915601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8164014687882497,0.8164014687882497,0.8164014687882497
7,1.0,1.0,1.0,0.9797077922077921,0.9797077922077921,0.9797077922077921,0.9628099173553719,0.9488636363636364,0.9537405874945388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842595404393157,0.9853896103896104,0.9847989663297104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8272727272727273,0.8287337662337663,0.8279178054458953
