Order_ID,Agent_Age,Store_Latitude,Store_Longitude,Order_Date,Order_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Drop_Distance,Wait_Time,Dissatisfied
ialx566343618,18,22.745049,75.892471,19070.0,690.0,4,0,1,3,120.0,2,3.0207366434610647,2,0
akqg208421122,15,12.913041,77.683237,19076.0,1185.0,3,1,2,0,165.0,4,20.143736910348597,0,0
njpu434582536,4,12.914264,77.6784,19070.0,510.0,2,2,1,3,130.0,14,1.549692932239404,2,1
rjto796129700,19,11.003669,76.976494,19087.0,1080.0,4,3,1,0,105.0,3,7.774496620087613,1,0
zguw716275638,13,12.972793,80.249982,19077.0,810.0,0,0,2,0,150.0,15,6.197897916874956,2,0
fxuu788413734,3,17.431668,78.408321,19062.0,1280.0,0,1,1,3,130.0,15,4.602205335871525,1,0
njmo150975311,14,23.369746,85.33982,19055.0,1155.0,1,1,2,0,200.0,15,16.576886807242534,2,0
jvjc772545076,16,12.352058,76.60665,19065.0,1045.0,0,3,1,0,160.0,13,20.164987511903337,0,0
uaeb808891380,3,17.433809,78.386744,19071.0,1255.0,3,1,1,0,170.0,4,19.94021940160752,1,0
bgvc052754213,17,30.327968,78.046106,19035.0,1315.0,1,1,1,0,230.0,15,10.27146402322994,2,1
vmau710398846,2,10.003064,76.307589,19036.0,895.0,3,0,1,0,115.0,3,6.229376076976667,1,0
lcwn330553507,4,18.56245,73.916619,19055.0,1050.0,2,3,2,0,105.0,11,13.764305929575334,1,0
wcjs752046999,15,30.899584,75.809346,19036.0,560.0,2,2,1,0,100.0,0,2.9277947281095997,1,1
blhl288691670,5,26.463504,80.372929,19037.0,1190.0,1,1,2,0,205.0,7,19.37348408863585,2,0
zyvo118176215,10,19.176269,72.836721,19084.0,1225.0,2,1,3,0,100.0,9,13.740932234405253,1,0
uhfs888375680,16,12.311072,76.654878,19052.0,895.0,5,0,2,0,33.0,5,6.205589948340002,2,1
vmfv999642595,14,18.592718,73.773572,19067.0,1230.0,2,1,1,0,200.0,3,16.821191645783845,1,1
qfgc848777135,15,17.426228,78.407495,19071.0,1240.0,0,1,1,0,205.0,13,10.738078032534037,1,0
vwmc439983136,2,22.552672,88.352885,19038.0,1275.0,5,1,1,3,75.0,7,4.533895591762387,2,0
ntzy027061451,6,18.563934,73.915367,19067.0,1220.0,2,1,1,0,180.0,15,12.23513612361146,0,1
pbjm971961647,12,23.357804,85.325146,19061.0,1350.0,2,2,3,0,130.0,1,19.590994221235338,2,0
kjic578711491,18,11.003669,76.976494,19062.0,495.0,2,2,1,0,100.0,2,1.554950180979803,2,0
rkzt648036688,14,12.986047,80.218114,19078.0,1170.0,5,1,2,0,195.0,13,20.140905255245308,2,1
segh259958026,6,19.221315,72.862381,19077.0,745.0,0,0,1,0,170.0,7,6.106736943461254,0,1
owvs520891091,10,13.005801,80.250744,19078.0,1115.0,4,3,3,0,75.0,9,17.04198395713032,2,0
edrh271340988,8,26.849596,75.800512,19087.0,1235.0,3,1,1,3,90.0,3,4.4650683810240395,0,0
qvfd540651807,16,21.160522,72.771477,19063.0,1400.0,0,2,2,0,190.0,4,13.66073757837138,1,1
gzfn634029300,13,12.934179,77.615797,19067.0,1280.0,5,1,1,0,235.0,3,13.94563444308926,2,1
xjps180812498,4,18.51421,73.838429,19084.0,1415.0,5,2,3,3,60.0,7,16.82479191121949,1,0
ahpg083217029,12,11.022477,76.995667,19083.0,1355.0,2,2,1,0,130.0,7,4.664630782215899,2,0
itii428784576,17,21.160437,72.774209,19056.0,1355.0,3,2,1,3,110.0,3,7.589769422472331,0,1
asis944862845,7,15.51315,73.78346,19034.0,1405.0,2,2,1,3,105.0,7,7.705941974795929,1,1
xzkg140273315,19,15.561295,73.749478,19034.0,815.0,0,0,2,3,125.0,11,6.164143763345328,0,0
zotl583816092,13,,,19059.0,1295.0,3,1,2,3,35.0,5,,1,1
agoo012263585,13,18.563934,73.915367,19084.0,1355.0,0,2,2,0,150.0,14,19.8806889061088,1,0
ezif478391605,14,18.55144,73.804855,19059.0,1135.0,4,3,1,0,110.0,7,10.706184356730288,2,0
tixw400453550,1,18.593481,73.785901,19085.0,855.0,5,0,2,3,50.0,15,6.117369061558013,1,0
mrfx777445506,1,21.173343,72.792731,19081.0,660.0,2,2,2,0,95.0,8,1.51798712661804,1,0
czjt755903822,16,17.451976,78.385883,19083.0,585.0,4,2,2,3,55.0,2,3.06801652533814,1,0
zqtj827550147,7,12.972532,77.608179,19079.0,520.0,3,2,2,0,55.0,8,3.0990100939446292,2,0
luka250567007,3,12.972532,77.608179,19069.0,1380.0,1,2,1,0,140.0,1,10.846013590626095,1,0
zkat983341391,16,13.064181,80.236442,19065.0,1045.0,0,3,1,0,33.0,5,10.844094035055107,0,1
ydhu273019158,18,21.149569,72.772697,19086.0,1185.0,2,1,1,0,260.0,2,13.661199383826538,0,0
rpuq263118672,9,19.091458,72.827808,19059.0,1150.0,3,1,2,0,110.0,3,16.79799879130621,2,0
nvck471535045,18,22.539129,88.365507,19036.0,655.0,1,2,2,3,16.0,5,3.0227804656534882,0,0
rxgx102974679,4,19.221315,72.862381,19075.0,1300.0,4,1,3,0,55.0,0,9.159847368692994,0,0
ikas794013321,8,12.970324,77.645748,19070.0,1140.0,5,3,2,0,125.0,13,9.296712100181105,2,0
dsyl658069912,18,13.064181,80.236442,19060.0,1005.0,0,3,1,3,130.0,7,6.196805343667927,1,0
wzoc344425774,14,21.175975,72.795503,19070.0,690.0,4,0,2,0,90.0,11,1.5179748068733323,1,0
dwnh519656346,12,23.369746,85.33982,19085.0,910.0,1,3,1,0,80.0,1,6.028674005255561,0,0
yakw330215137,12,12.914264,77.6784,19076.0,1365.0,3,2,2,0,115.0,3,17.04498825633386,1,0
dcdm719150402,6,,,19036.0,1330.0,0,2,1,0,75.0,6,,2,0
fris321432357,9,11.003681,76.975525,19086.0,1245.0,2,1,1,0,180.0,8,12.43888855192116,1,0
mxuw713526914,12,21.173343,72.792731,19077.0,1370.0,0,2,1,0,80.0,2,9.107220024938373,2,0
carl449634661,5,10.96185,76.971082,19061.0,1075.0,4,3,1,3,95.0,13,13.994592406584347,0,0
msnw786727644,20,27.165108,78.015053,19037.0,1365.0,4,2,1,0,135.0,7,13.37733285954981,2,0
bbow373480117,20,,,19053.0,1235.0,1,1,2,2,245.0,0,,2,1
vizd072469706,13,26.88842,75.800689,19077.0,565.0,5,2,2,1,100.0,11,1.4881912567305338,2,0
etss702593505,17,,,19064.0,1215.0,0,1,1,0,150.0,14,,0,0
rxxx129114996,6,26.913987,75.752891,19080.0,1345.0,2,2,2,3,90.0,3,11.902753837483976,1,0
bull762076829,14,12.3085,76.665808,19081.0,1315.0,4,1,2,0,110.0,1,4.654256824131882,0,0
fpkv432118410,11,21.183434,72.814492,19063.0,1360.0,0,2,2,0,170.0,11,10.624594799022988,2,1
udpq945815554,14,19.254567,72.848923,19082.0,1430.0,2,2,1,3,120.0,7,16.790293751513897,0,0
qeqp930384577,17,18.55144,73.804855,19068.0,925.0,1,3,2,0,85.0,10,6.118069582492733,2,0
