ID,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,Vendor,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Project Code_0,Project Code_2,PQ #_0,PO / SO #_0,PO / SO #_1,ASN/DN #_0,ASN/DN #_1,PQ First Sent to Client Date_str,PO Sent to Vendor Date_str,Freight Cost (USD)_str,abacavir,amodiaquine,artemether,artesunate,atazanavir,chloroquine,darunavir,didanosine,efavirenz,emtricitabine,etravirine,indinavir,lamivudine,lopinavir,lumefantrine,mefloquine,nelfinavir,nevirapine,primaquine,pyrimethamine,quinine,raltegravir,ritonavir,saquinavir,stavudine,sulfadoxine,tenofovir,zidovudine,Unit Price,Insurance Ratio,POCycle,IsDelay
1,9,2,0,5,0,3,2,56,33,15,30,19,77,1,13.0,780.34,0,0,1,1,4,0,8,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.97,,,0
3,40,2,0,5,0,2,5,13,15,8,240,1000,11,1,358.0,4521.5,8,0,1,1,13,0,85,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,,,0
4,9,2,0,6,0,3,2,0,11,15,100,500,5,1,171.0,1653.78,0,0,1,1,20,0,14,2,0,2,5,2,2,2,4,2,3,9,5,3,2,2,6,5,2,2,3,6,2,2,3,2,7,3,8,2,3,6,0.8,,,0
15,40,2,0,5,0,2,1,65,15,10,60,31920,80,1,1855.0,16007.06,8,0,1,1,78,0,50,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,,,0
16,40,2,0,5,0,2,1,13,15,0,60,38000,11,1,7590.0,45450.08,8,0,1,1,81,0,55,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.05,,,0
23,28,2,0,5,0,2,5,13,15,7,240,416,11,1,504.0,5920.42,12,0,1,1,87,0,57,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,,,0
44,41,2,0,4,0,2,5,42,36,0,90,135,64,1,328.0,,10,0,1,1,139,0,130,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,,,0
45,37,2,0,5,0,2,1,13,15,10,60,16667,11,1,1478.0,6212.41,9,0,1,1,140,0,94,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.06,,,0
46,28,2,0,5,0,2,1,13,15,0,60,273,11,0,479.0,4861.14,12,0,1,1,156,0,93,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.03,,,0
47,41,2,0,1,0,2,1,3,0,10,120,2800,4,1,643.0,,10,0,1,1,165,0,199,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.34,,,0
