Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay
2024-03-20 00:11:14,7,-65.7383,11.2497,390,0,27.0,67.8,1,38,320,3,3,60.1,285,1
2024-10-30 07:53:51,6,22.2748,-131.7086,491,2,22.5,54.3,2,16,439,6,2,80.9,174,1
2024-07-29 18:42:48,1,54.9232,79.5455,190,2,25.2,62.2,1,34,355,2,3,99.2,260,0
2024-10-28 00:50:54,9,42.39,-1.4788,330,1,25.4,52.3,2,37,227,4,1,97.4,160,1
2024-09-27 15:52:58,7,-65.8477,47.9468,480,0,20.5,57.2,0,56,197,5,3,71.6,270,1
2024-09-17 06:02:15,7,73.3312,46.5831,118,2,24.3,61.8,0,56,258,9,3,66.8,189,0
2024-02-05 08:38:56,4,27.9307,147.5317,480,0,20.7,75.4,0,32,263,2,3,73.3,198,1
2024-09-28 09:08:23,9,46.5643,-126.5348,222,2,23.3,64.2,1,30,459,8,1,73.8,253,0
2024-01-18 08:27:04,9,-83.6737,-31.7125,245,1,26.4,77.2,0,14,183,1,3,69.6,206,0
2024-11-09 00:48:26,2,54.1683,-135.2676,389,2,21.9,57.3,0,52,127,6,0,63.1,224,0
2024-01-09 23:19:43,9,82.9633,-154.5274,319,0,22.0,53.5,0,28,360,3,3,69.8,171,1
2024-02-02 22:28:16,1,-25.2768,156.1262,234,1,29.7,63.6,1,13,406,9,1,85.5,238,0
2024-02-17 21:14:42,8,-65.526,-3.0202,154,2,21.5,74.2,1,38,215,2,2,84.4,114,0
2024-03-04 06:44:50,2,-26.1836,-30.3641,348,1,27.3,71.6,1,30,211,1,3,96.4,115,0
2024-08-28 12:19:14,3,2.6709,-80.8879,163,2,25.1,76.8,2,54,320,4,2,93.2,231,1
2024-01-04 22:52:43,5,-22.4793,-54.5143,130,0,23.7,68.1,0,45,487,3,1,84.1,256,1
2024-10-30 17:52:03,4,-34.5353,-40.8617,391,0,21.6,72.5,0,58,298,6,1,61.5,170,1
2024-07-15 15:42:02,7,-8.7105,-17.8347,344,0,21.4,53.5,1,23,461,8,3,93.4,106,1
2024-01-19 06:42:30,5,14.6629,116.0696,409,0,27.5,66.6,1,29,492,2,3,72.6,204,1
2024-04-28 21:23:34,1,75.7743,108.9425,457,2,25.5,75.9,0,21,315,2,1,83.4,248,0
2024-03-06 20:00:26,5,50.3419,108.5647,207,1,29.3,59.4,1,31,174,4,0,65.9,195,0
2024-11-20 16:38:07,8,-6.6729,132.6727,155,1,19.4,53.2,2,20,152,0,0,99.3,235,1
2024-01-07 09:13:28,6,-74.1751,-102.7331,314,1,19.9,64.8,1,57,396,9,2,78.6,135,0
2024-09-25 15:12:12,1,-33.2264,169.6187,156,2,27.2,74.4,0,35,354,1,2,63.1,282,0
2024-02-11 13:30:18,2,-34.4469,93.1585,119,2,28.1,72.4,1,41,176,1,3,60.9,238,0
2024-11-20 11:22:13,3,-13.511,141.8454,112,2,19.7,76.6,1,22,121,2,1,80.9,262,0
2024-06-25 02:26:25,3,-22.427,108.2306,435,1,25.8,78.6,2,22,220,6,1,90.8,101,1
2024-06-25 00:01:12,9,43.3353,-12.0683,422,1,20.0,62.9,2,14,184,8,1,64.0,248,1
2024-05-02 02:33:56,4,-66.7517,161.45,353,2,20.5,52.0,2,26,392,6,1,76.4,155,1
2024-08-10 00:04:40,8,-65.7349,-173.3011,299,0,23.9,50.1,2,17,315,5,3,88.3,252,1
2024-05-13 03:20:21,0,-55.4768,18.2551,261,0,22.5,78.4,0,41,209,5,0,71.8,240,1
2024-12-02 08:32:47,8,5.9179,74.8254,425,0,19.3,51.1,2,39,235,8,0,88.3,242,1
2024-02-12 06:23:27,7,49.3929,-47.5805,369,1,26.3,52.1,1,48,104,6,3,66.7,220,0
2024-04-24 06:17:22,1,80.3158,70.765,223,0,24.0,60.2,2,45,292,5,2,78.4,205,1
2024-12-06 19:05:13,2,-19.8847,42.5062,200,1,28.1,72.1,1,28,129,8,3,74.3,134,0
